group,ipc,offence,bns,relation,confidence,note
Homicide and hurt (BNS Ch. VI),299,Culpable homicide (def),100,=,H,
Homicide and hurt (BNS Ch. VI),300,Murder (def),101,=,H,
Homicide and hurt (BNS Ch. VI),303,Murder by life-convict,104,=,M,
Homicide and hurt (BNS Ch. VI),305 / 306,Abetment of suicide (child/unsound mind; general),107 / 108,=,H,
Homicide and hurt (BNS Ch. VI),308,Attempt to commit culpable homicide,110,=,H,
Homicide and hurt (BNS Ch. VI),309,Attempt to commit suicide,—,GONE,H,only BNS 226 (attempt to suicide to compel a public servant) survives
Homicide and hurt (BNS Ch. VI),—,Organised crime,**111**,NEW,H,previously only state MCOCA-type acts / UAPA
Homicide and hurt (BNS Ch. VI),—,Petty organised crime,**112**,NEW,H,"gang theft, pickpocketing, snatching rings, card skimming"
Homicide and hurt (BNS Ch. VI),—,Terrorist act,**113**,NEW,H,parallel to UAPA; choice of statute is the SHO's
Homicide and hurt (BNS Ch. VI),310 / 311,Thug,114,=,M,
Homicide and hurt (BNS Ch. VI),321 / **323**,Voluntarily causing hurt (def / punishment),115(1) / **115(2)**,=,H,
Homicide and hurt (BNS Ch. VI),320,Grievous hurt (def),116,=,H,
Homicide and hurt (BNS Ch. VI),322 / **325**,Voluntarily causing grievous hurt (def / punishment),117(1) / **117(2)**,S,H,117(3)/(4) **NEW**: grievous hurt by group of 5+ on identity grounds
Homicide and hurt (BNS Ch. VI),324 / 326,Hurt / grievous hurt by dangerous weapons,118(1) / 118(2),M,H,two sections merged into one
Homicide and hurt (BNS Ch. VI),326A / 326B,Acid attack / attempt,124(1) / 124(2),=,H,
Homicide and hurt (BNS Ch. VI),327 / 329,Hurt or grievous hurt to extort property,119,M,M,
Homicide and hurt (BNS Ch. VI),330 / 331,Hurt or grievous hurt to extort confession,120,M,M,
Homicide and hurt (BNS Ch. VI),332 / 333,Hurt or grievous hurt to deter public servant,121,M,M,
Homicide and hurt (BNS Ch. VI),334 / 335,Hurt or grievous hurt on provocation,122,M,M,
Homicide and hurt (BNS Ch. VI),328,Administering stupefying drug,123,=,M,
Homicide and hurt (BNS Ch. VI),336 / 337 / 338,Acts endangering life or personal safety,125,M,M,three sections merged
Homicide and hurt (BNS Ch. VI),339 / 341,Wrongful restraint,126(1) / 126(2),=,M,
Homicide and hurt (BNS Ch. VI),340 / 342-348,Wrongful confinement,127,M,M,seven sections merged
Homicide and hurt (BNS Ch. VI),349 / 350 / 351,Force / criminal force / assault (defs),128 / 129 / 130,=,M,
Homicide and hurt (BNS Ch. VI),352,Punishment for assault or criminal force,131,=,M,
Homicide and hurt (BNS Ch. VI),353,Assault to deter public servant,132,=,M,
Homicide and hurt (BNS Ch. VI),354* (see Ch. V),,,?,L,*moved out of Ch. VI into Ch. V*
Homicide and hurt (BNS Ch. VI),355 / 356 / 357 / 358,Assault to dishonour / in theft attempt / in confinement attempt / on provocation,133 / 134 / 135 / 136,=,M,
"Kidnapping, abduction, trafficking (BNS Ch. VI, partly Ch. V)",359-361,Kidnapping (defs),137(1),M,H,
"Kidnapping, abduction, trafficking (BNS Ch. VI, partly Ch. V)",362,Abduction,138,=,H,
"Kidnapping, abduction, trafficking (BNS Ch. VI, partly Ch. V)",363A,Kidnapping/maiming a child for begging,139,=,M,
"Kidnapping, abduction, trafficking (BNS Ch. VI, partly Ch. V)",366A,Procuration of a minor girl,96,⊃,M,"now gender-neutral (""child"")"
