station_id,ps_cd_mha,name,district,district_raw,kind,latitude,longitude,thana_id,match_method,name_agreement
BH-PS-5140003,5140003,ARARIA,ARARIA,ARARIA,territorial,26.1358,87.4659,BH-5140077,spatial+name,0.857
BH-PS-5140012,5140012,SIKTI,ARARIA,ARARIA,territorial,26.405,87.5483,BH-5140012,spatial+name,1.0
BH-PS-5140014,5140014,BHARGAWAN,ARARIA,ARARIA,territorial,26.0629,87.1335,BH-5140014,spatial+name,0.824
BH-PS-5140027,5140027,FORBESGANJ,ARARIA,ARARIA,territorial,26.2931,87.2654,BH-5140027,spatial+name,1.0
BH-PS-5140031,5140031,JOGBANI,ARARIA,ARARIA,territorial,26.3902,87.2564,BH-5140082,spatial-only,0.4
BH-PS-5140043,5140043,KURSAKANTA,ARARIA,ARARIA,territorial,26.3643,87.4418,BH-5140043,spatial+name,1.0
BH-PS-5140051,5140051,NARPATGANJ,ARARIA,ARARIA,territorial,26.3385,87.1069,BH-5140051,spatial+name,0.952
BH-PS-5140055,5140055,PALASI,ARARIA,ARARIA,territorial,26.2379,87.5638,BH-5140055,spatial+name,1.0
BH-PS-5140061,5140061,RANIGANJ,ARARIA,ARARIA,territorial,26.0796,87.2392,BH-5140061,spatial+name,1.0
BH-PS-5140072,5140072,JOKIHAT,ARARIA,ARARIA,territorial,26.1396,87.6162,BH-5140072,spatial+name,1.0
BH-PS-5140075,5140075,MAHILA,ARARIA,ARARIA,mahila,26.1342,87.4652,,located-in-BH-5140077-not-mapped,0.429
BH-PS-5140076,5140076,SC/ST,ARARIA,ARARIA,sc_st,26.1342,87.4652,,located-in-BH-5140077-not-mapped,0.167
BH-PS-5140077,5140077,Araria Prohibition,ARARIA,ARARIA,prohibition,26.13248,87.461069,,located-in-BH-5140077-not-mapped,0.56
BH-PS-5141001,5141001,ARWAL,ARWAL,ARWAL,territorial,25.247,84.6651,BH-5141001,spatial+name,1.0
BH-PS-5141002,5141002,KALER,ARWAL,ARWAL,territorial,25.1028,84.4743,BH-5141002,spatial+name,1.0
BH-PS-5141003,5141003,KARPI,ARWAL,ARWAL,territorial,25.1641,84.7326,BH-5141003,spatial+name,1.0
