station_name,district,ps_cd_mha,thana_id,thana_name,tier,mappable,by_name,by_geometry,name_method,name_confidence
ARARIA,ARARIA,5140003,,,conflict,False,BH-5140003,BH-5140077,exact,1.0
BHARGAWAN,ARARIA,5140014,BH-5140014,BHARGAMA,geometry-only,False,,BH-5140014,below-threshold,0.824
JOGBANI,ARARIA,5140031,,,conflict,False,BH-5140031,BH-5140082,fuzzy,0.933
NAGAR,AURANGABAD,5137004,BH-5137003,MUFASSIL,geometry-only,False,,BH-5137003,below-threshold,0.714
DEVKUND,AURANGABAD,5137019,BH-5137019,DEOKUND,geometry-only,False,,BH-5137019,below-threshold,0.857
JAMHAUR,AURANGABAD,5137035,BH-5137035,JAMHORE,geometry-only,False,,BH-5137035,below-threshold,0.714
UPHARA,AURANGABAD,5137072,BH-5137072,UPAHARA,geometry-only,False,,BH-5137072,below-threshold,0.667
KHAIRA,AURANGABAD,5137074,BH-5137074,NTPC KHAIRA,geometry-only,False,,BH-5137074,below-threshold,0.714
NARARI KALA KHURD,AURANGABAD,5137077,,,conflict,False,BH-5137077,BH-5137001,exact,1.0
TANRWA,AURANGABAD,5137081,BH-5137081,TANDWA,geometry-only,False,,BH-5137081,below-threshold,0.833
Azan,AURANGABAD,5137082,BH-5137049,MADANPUR,geometry-only,False,,BH-5137049,below-threshold,0.5
BAGAHA,BAGAHA,5803005,,,conflict,False,BH-5803005,BH-5127013,exact,1.0
THAKRAHAN,BAGAHA,5803010,,,unresolved,False,,,below-threshold,0.625
GOBRAHIYA,BAGAHA,5803042,,,conflict,False,BH-5803042,BH-5803014,fuzzy,0.941
DHORAIYA,BANKA,5797002,BH-5797002,DHURAIYA,geometry-only,False,,BH-5797002,below-threshold,0.857
Bandhua Kudawali,BANKA,5797048,BH-5797048,BANDHUA KURAWA,geometry-only,False,,BH-5797048,below-threshold,0.857
Dhankund,BANKA,5797049,BH-5797002,DHURAIYA,geometry-only,False,,BH-5797002,below-threshold,0.571
SAMHO,BEGUSARAI,5102001,BH-5102001,SHAMHO AKHA KURHA,geometry-only,False,,BH-5102001,below-threshold,0.526
BAKHARI,BEGUSARAI,5102006,,,conflict,False,BH-5102006,BH-5102004,fuzzy,0.909
BALIA,BEGUSARAI,5102007,,,conflict,False,BH-5102007,BH-5102038,exact,1.0
BEGUSARAI TOWN,BEGUSARAI,5102010,BH-5102038,MUFASSIL,geometry-only,False,,BH-5102038,below-threshold,0.5
GARHPURA,BEGUSARAI,5102016,,,conflict,False,BH-5102016,BH-5102038,exact,1.0
KHODAWANDPUR,BEGUSARAI,5102027,BH-5102027,KHUDABANDPUR,geometry-only,False,,BH-5102027,below-threshold,0.818
NAYAGAON,BEGUSARAI,5102033,,,conflict,False,BH-5102033,BH-5102038,exact,1.0
NAWA KOTHI,BEGUSARAI,5102035,BH-5102031,MATIHANI,geometry-only,False,,BH-5102031,below-threshold,0.824
PHULWARIA,BEGUSARAI,5102036,,,conflict,False,BH-5102036,BH-5102040,exact,1.0
SAHEBPUR KAMAL,BEGUSARAI,5102037,,,conflict,False,BH-5102037,BH-5102007,exact,1.0
BEGUSARAI MUFASSIL,BEGUSARAI,5102038,BH-5102038,MUFASSIL,geometry-only,False,,BH-5102038,below-threshold,0.609
DANDARI,BEGUSARAI,5102042,,,conflict,False,BH-5102042,BH-5102038,exact,1.0
BALTHAR,WEST CHAMPARAN,5127004,BH-5127024,SIKTA,geometry-only,False,,BH-5127024,below-threshold,0.556
BHANGAHA,WEST CHAMPARAN,5127005,BH-5127019,MAINATAND,geometry-only,False,,BH-5127019,below-threshold,0.667
MUFASSIL,WEST CHAMPARAN,5127007,BH-5127007,BETTIAH (MUFFASIL),geometry-only,False,,BH-5127007,below-threshold,0.7
GOPALPUR,WEST CHAMPARAN,5127015,BH-5127024,SIKTA,geometry-only,False,,BH-5127024,below-threshold,0.429
SHIKARPUR,WEST CHAMPARAN,5127025,BH-5127010,NARKATIAGANJ,geometry-only,False,,BH-5127010,below-threshold,0.571
SATHI,WEST CHAMPARAN,5127026,BH-5127010,NARKATIAGANJ,geometry-only,False,,BH-5127010,below-threshold,0.462
INARWA,WEST CHAMPARAN,5127032,BH-5127019,MAINATAND,geometry-only,False,,BH-5127019,below-threshold,0.545
KANGLI,WEST CHAMPARAN,5127033,BH-5127024,SIKTA,geometry-only,False,,BH-5127024,below-threshold,0.5
PURUSHOTTAMPUR,WEST CHAMPARAN,5127035,BH-5127019,MAINATAND,geometry-only,False,,BH-5127019,below-threshold,0.333
MANPUR,WEST CHAMPARAN,5127045,BH-5127019,MAINATAND,geometry-only,False,,BH-5127019,below-threshold,0.5
MATIARIA,WEST CHAMPARAN,5127047,BH-5127011,GAUNAHA,geometry-only,False,,BH-5127011,below-threshold,0.615
SAHODARA,WEST CHAMPARAN,5127055,BH-5127011,GAUNAHA,geometry-only,False,,BH-5127011,below-threshold,0.462
SRINAGAR,WEST CHAMPARAN,5127057,,,unresolved,False,,,below-threshold,0.632
KUDHNI,KAIMUR (BHABUA),5792029,BH-5792029,KURHNI,geometry-only,False,,BH-5792029,below-threshold,0.833
Lohra,KAIMUR (BHABUA),5792038,,,unresolved,False,,,below-threshold,0.545
AKBARNER,BHAGALPUR,5103001,BH-5103053,SULTANGANJ,geometry-only,False,,BH-5103053,below-threshold,0.778
BUDHUCHAK,BHAGALPUR,5103013,,,conflict,False,BH-5103013,BH-5103014,exact,1.0
EKCHARI,BHAGALPUR,5103014,,,conflict,False,BH-5103014,BH-5103027,exact,1.0
KAJARAILICHAK,BHAGALPUR,5103017,BH-5103017,KAJRAILI,geometry-only,False,,BH-5103017,below-threshold,0.762
LODIPUR,BHAGALPUR,5103024,,,conflict,False,BH-5103024,BH-5103032,exact,1.0
NATH NAGAR,BHAGALPUR,5103036,,,conflict,False,BH-5103036,BH-5103005,exact,1.0
SABAUR,BHAGALPUR,5103049,,,conflict,False,BH-5103049,BH-5103067,exact,1.0
SONHAULA,BHAGALPUR,5103052,BH-5103052,SANHOULA,geometry-only,False,,BH-5103052,below-threshold,0.75
SANDKHAR,BHAGALPUR,5103058,BH-5103058,SANOKHAR,geometry-only,False,,BH-5103058,below-threshold,0.857
NTPC,BHAGALPUR,5103065,,,conflict,False,BH-5103065,BH-5103016,exact,1.0
AUDHYOGIK,BHAGALPUR,5103067,BH-5103067,INDUSTRIAL AREA,geometry-only,False,,BH-5103067,below-threshold,0.444
BIHIYA,BHOJPUR,5124008,,,conflict,False,BH-5124008,BH-5124011,fuzzy,0.909
JAGDISHPUR,BHOJPUR,5124011,,,conflict,False,BH-5124011,BH-5124009,exact,1.0
NAWADA,BHOJPUR,5124016,BH-5124015,MUFASSIL,geometry-only,False,,BH-5124015,below-threshold,0.5
NAGAR,BHOJPUR,5124044,BH-5124015,MUFASSIL,geometry-only,False,,BH-5124015,below-threshold,0.667
Hasanbazar,BHOJPUR,5124045,BH-5124018,PIRO,geometry-only,False,,BH-5124018,below-threshold,0.762
KRISHNABRAHM,BUXAR,5793002,BH-5793012,KARISHNA BARHAM,geometry-only,False,,BH-5793012,below-threshold,0.846
NAGAR,BUXAR,5793007,BH-5793014,MUFASSIL,geometry-only,False,,BH-5793014,below-threshold,0.714
ASHOK PAPER MILLS,DARBHANGA,5106002,BH-5106002,APM,geometry-only,False,,BH-5106002,below-threshold,0.5
BIRAUL,DARBHANGA,5106011,BH-5106011,BIROUL,geometry-only,False,,BH-5106011,below-threshold,0.833
L.N.M. UNIVERSITY,DARBHANGA,5106013,BH-5106072,DARBHANGA SADAR,geometry-only,False,,BH-5106072,below-threshold,0.462
RAIYAM,DARBHANGA,5106015,BH-5106015,REYAM,geometry-only,False,,BH-5106015,below-threshold,0.8
JALAI,DARBHANGA,5106032,BH-5106032,JALE,geometry-only,False,,BH-5106032,below-threshold,0.667
KAMTAUL,DARBHANGA,5106035,BH-5106035,KAMTOL,geometry-only,False,,BH-5106035,below-threshold,0.769
KEUTI,DARBHANGA,5106037,BH-5106037,KEWTI,geometry-only,False,,BH-5106037,below-threshold,0.8
KUSESHWRA ASTHAN,DARBHANGA,5106038,BH-5106038,KUSHEWER STHAN,geometry-only,False,,BH-5106038,below-threshold,0.815
LAHERIA SARAI,DARBHANGA,5106043,BH-5106072,DARBHANGA SADAR,geometry-only,False,,BH-5106072,below-threshold,0.556
SEMARI BAZAR,DARBHANGA,5106054,BH-5106054,SIMRI,geometry-only,False,,BH-5106054,below-threshold,0.5
DARBHANGA TOWN,DARBHANGA,5106055,BH-5106072,DARBHANGA SADAR,geometry-only,False,,BH-5106072,below-threshold,0.667
AATI,GAYA,5109001,BH-5109001,ANTI,geometry-only,False,,BH-5109001,below-threshold,0.857
AMAS,GAYA,5109003,,,conflict,False,BH-5109003,BH-5109029,exact,1.0
BUNIYADGANJ,GAYA,5109011,,,conflict,False,BH-5109011,BH-5109051,exact,1.0
CHANDAULI,GAYA,5109013,,,conflict,False,BH-5109013,BH-5109049,fuzzy,0.889
CIVIL LINES,GAYA,5109014,BH-5109049,MAGADH MEDICAL,geometry-only,False,,BH-5109049,below-threshold,0.32
DELHA,GAYA,5109015,BH-5109049,MAGADH MEDICAL,geometry-only,False,,BH-5109049,below-threshold,0.462
HARIJAN P.S.,GAYA,5109031,BH-5109049,MAGADH MEDICAL,geometry-only,False,,BH-5109049,below-threshold,0.615
KOTHIGRAM,GAYA,5109047,BH-5109047,KOTHI,geometry-only,False,,BH-5109047,below-threshold,0.714
KOTWALI,GAYA,5109048,BH-5109049,MAGADH MEDICAL,geometry-only,False,,BH-5109049,below-threshold,0.667
MAGADH MEDICAL COLLEGE,GAYA,5109049,BH-5109049,MAGADH MEDICAL,geometry-only,False,,BH-5109049,below-threshold,0.812
MAGADH VISWAVIDYALAY,GAYA,5109050,BH-5109010,BODH GAYA,geometry-only,False,,BH-5109010,below-threshold,0.625
GAYA MUFASSIL,GAYA,5109051,BH-5109051,MUFASSIL,geometry-only,False,,BH-5109051,below-threshold,0.778
RAMPUR,GAYA,5109052,BH-5109049,MAGADH MEDICAL,geometry-only,False,,BH-5109049,below-threshold,0.667
Suhail,GAYA,5109066,,,unresolved,False,,,below-threshold,0.833
ROSHANGANJ,GAYA,5109068,BH-5109068,RAUSHANGANJ,geometry-only,False,,BH-5109068,below-threshold,0.857
Vishnupad Temple,GAYA,5109070,BH-5109049,MAGADH MEDICAL,geometry-only,False,,BH-5109049,below-threshold,0.364
TEKARI,GAYA,5109076,BH-5109076,TIKARI,geometry-only,False,,BH-5109076,below-threshold,0.833
MEN,GAYA,5109078,BH-5109078,MAIN,geometry-only,False,,BH-5109078,below-threshold,0.571
MIRGANJ,GOPALGANJ,5139010,,,conflict,False,BH-5139010,BH-5139014,exact,1.0
MOHAMMADPUR,GOPALGANJ,5139013,BH-5139016,SIDHWALIA,geometry-only,False,,BH-5139016,below-threshold,0.609
CHANDRAMANDI,JAMUI,5799019,BH-5799009,CHAKAI,geometry-only,False,,BH-5799009,below-threshold,0.727
SIMULTALLA,JAMUI,5799040,BH-5799024,JHAJHA,geometry-only,False,,BH-5799024,below-threshold,0.471
MALAYPUR,JAMUI,5799043,BH-5799005,BARHAT,geometry-only,False,,BH-5799005,below-threshold,0.667
Batia,JAMUI,5799052,BH-5799048,SONHO,geometry-only,False,,BH-5799048,below-threshold,0.6
Garhi,JAMUI,5799056,BH-5799028,KHAIRA,geometry-only,False,,BH-5799028,below-threshold,0.545
Barabar Tourism,JEHANABAD,5790053,BH-5790009,BISHUNGANJ,geometry-only,False,,BH-5790009,below-threshold,0.667
Junathi,JEHANABAD,5790054,BH-5790016,PARAS BIGHA,geometry-only,False,,BH-5790016,below-threshold,0.375
NAGAR,KATIHAR,5130010,BH-5130010,KATIHAR NAGAR,geometry-only,False,,BH-5130010,below-threshold,0.714
KADWA,KATIHAR,5130012,,,conflict,False,BH-5130012,BH-5130010,exact,1.0
MUFASSIL,KATIHAR,5130013,,,conflict,False,BH-5130013,BH-5130066,exact,1.0
PRANPUR,KATIHAR,5130016,,,conflict,False,BH-5130016,BH-5130026,exact,1.0
KURSAILA,KATIHAR,5130017,BH-5130017,KURSELA,geometry-only,False,,BH-5130017,below-threshold,0.8
Sahayak Thana,KATIHAR,5130023,,,conflict,False,BH-5130066,BH-5130010,fuzzy,0.923
KHAGARIA,KHAGARIA,5108005,BH-5108005,TOWN THANA,geometry-only,False,,BH-5108005,below-threshold,0.667
MURKAHI,KHAGARIA,5108007,BH-5108021,CHITRAGUPT NAGAR OP,geometry-only,False,,BH-5108021,below-threshold,0.667
PASRAHA,KHAGARIA,5108009,BH-5108009,PASHRA,geometry-only,False,,BH-5108009,below-threshold,0.769
Riverine Mohraghat,KHAGARIA,5108013,BH-5108001,ALAULI,geometry-only,False,,BH-5108001,below-threshold,0.323
Amausi,KHAGARIA,5108016,BH-5108007,MORKHI,geometry-only,False,,BH-5108007,below-threshold,0.727
Bahadurpur,KHAGARIA,5108017,BH-5108001,ALAULI,geometry-only,False,,BH-5108001,below-threshold,0.471
Gangaur,KHAGARIA,5108018,BH-5108018,GANGOUR OP,geometry-only,False,,BH-5108018,below-threshold,0.857
Madaiya,KHAGARIA,5108019,BH-5108013,MARIA OP,geometry-only,False,,BH-5108013,below-threshold,0.727
Piparpani,KHAGARIA,5108020,BH-5108001,ALAULI,geometry-only,False,,BH-5108001,below-threshold,0.571
THAKURGANJ,KISHANGANJ,5791011,,,conflict,False,BH-5791011,BH-5791013,exact,1.0
TEDAGACHH,KISHANGANJ,5791044,BH-5791044,TERHAGACHH,geometry-only,False,,BH-5791044,below-threshold,0.824
Paharkatta,KISHANGANJ,5791059,BH-5791059,"PAHARKATTA PS, ARRABARI OP",geometry-only,False,,BH-5791059,below-threshold,0.75
PIPARIA,LAKHISARAI,5802035,,,conflict,False,BH-5802035,BH-5802005,exact,1.0
Bannu Bagicha,LAKHISARAI,5802054,BH-5802011,CHANAN,geometry-only,False,,BH-5802011,below-threshold,0.556
BHAIRAVSTHAN,MADHUBANI,5129004,,,conflict,False,BH-5129004,BH-5129007,exact,1.0
JAINAGAR,MADHUBANI,5129008,,,conflict,False,BH-5129008,BH-5129018,exact,1.0
KHUTAUNA,MADHUBANI,5129014,BH-5129017,LAUKAHA,geometry-only,False,,BH-5129017,below-threshold,0.429
DEODHA,MADHUBANI,5129018,BH-5129018,DEVDHA,geometry-only,False,,BH-5129018,below-threshold,0.833
PANDAUL,MADHUBANI,5129022,,,conflict,False,BH-5129022,BH-5129035,exact,1.0
NAGAR,MADHUBANI,5129028,BH-5129028,TOWN,geometry-only,False,,BH-5129028,below-threshold,0.769
SAHARGHAT,MADHUBANI,5129036,,,conflict,False,BH-5129036,BH-5129025,exact,1.0
CHAKIA,EAST CHAMPARAN,5128003,BH-5128022,PIPRA,geometry-only,False,,BH-5128022,below-threshold,0.769
CHHATAUNI,EAST CHAMPARAN,5128004,BH-5128017,MUFFASSIL,geometry-only,False,,BH-5128017,below-threshold,0.571
CHHODADANO,EAST CHAMPARAN,5128006,BH-5128011,DARPA,geometry-only,False,,BH-5128011,below-threshold,0.5
DHAKA,EAST CHAMPARAN,5128008,,,conflict,False,BH-5128008,BH-5128005,exact,1.0
GOVINDGANJ,EAST CHAMPARAN,5128010,BH-5128002,ARERAJ,geometry-only,False,,BH-5128002,below-threshold,0.421
KUNDWA CHAINPUR,EAST CHAMPARAN,5128019,BH-5128008,DHAKA,geometry-only,False,,BH-5128008,below-threshold,0.609
NAGAR,EAST CHAMPARAN,5128020,BH-5128017,MUFFASSIL,geometry-only,False,,BH-5128017,below-threshold,0.615
DUMARIA,EAST CHAMPARAN,5128021,,,unresolved,False,,,below-threshold,0.667
PATAHI,EAST CHAMPARAN,5128023,,,conflict,False,BH-5128023,BH-5128035,exact,1.0
PALANWA,EAST CHAMPARAN,5128029,BH-5128030,RAXAUL,geometry-only,False,,BH-5128030,below-threshold,0.571
SHIKARGANJ,EAST CHAMPARAN,5128036,BH-5128005,CHIRAIA,geometry-only,False,,BH-5128005,below-threshold,0.5
HARPUR,EAST CHAMPARAN,5128038,BH-5128022,PIPRA,geometry-only,False,,BH-5128022,below-threshold,0.857
JHAROKHAR,EAST CHAMPARAN,5128039,BH-5128009,GHORASAHAN,geometry-only,False,,BH-5128009,below-threshold,0.615
MALAHI,EAST CHAMPARAN,5128052,BH-5128002,ARERAJ,geometry-only,False,,BH-5128002,below-threshold,0.667
MAHUAWA,EAST CHAMPARAN,5128054,,,conflict,False,BH-5128054,BH-5128027,exact,1.0
BRAHMPURA,MUZAFFARPUR,5114010,BH-5114054,MUZAFFARPUR SADAR,geometry-only,False,,BH-5114054,below-threshold,0.625
GAIGHAT,MUZAFFARPUR,5114018,,,conflict,False,BH-5114018,BH-5114011,exact,1.0
HATHAURI,MUZAFFARPUR,5114020,BH-5114020,HATHODI,geometry-only,False,,BH-5114020,below-threshold,0.769
KATHAIYA,MUZAFFARPUR,5114024,,,conflict,False,BH-5114024,BH-5114012,fuzzy,0.923
KAZI MOHAMMADPUR,MUZAFFARPUR,5114027,BH-5114054,MUZAFFARPUR SADAR,geometry-only,False,,BH-5114054,below-threshold,0.571
KUDHANI,MUZAFFARPUR,5114028,BH-5114028,KURAHANI,geometry-only,False,,BH-5114028,below-threshold,0.8
VISHWAVIDYALAYA,MUZAFFARPUR,5114031,BH-5114054,MUZAFFARPUR SADAR,geometry-only,False,,BH-5114054,below-threshold,0.476
NAGAR,MUZAFFARPUR,5114032,BH-5114054,MUZAFFARPUR SADAR,geometry-only,False,,BH-5114054,below-threshold,0.5
MITHANPURA,MUZAFFARPUR,5114034,BH-5114054,MUZAFFARPUR SADAR,geometry-only,False,,BH-5114054,below-threshold,0.706
MOTIPUR,MUZAFFARPUR,5114038,,,conflict,False,BH-5114038,BH-5114024,exact,1.0
SADAR,MUZAFFARPUR,5114054,BH-5114054,MUZAFFARPUR SADAR,geometry-only,False,,BH-5114054,below-threshold,0.6
SARAIYA,MUZAFFARPUR,5114056,,,conflict,False,BH-5114056,BH-5114042,exact,1.0
Panapur,MUZAFFARPUR,5114069,,,conflict,False,BH-5114069,BH-5114058,exact,1.0
Turki Khararu,MUZAFFARPUR,5114073,BH-5114073,TURKI OP,geometry-only,False,,BH-5114073,below-threshold,0.625
MUFFASSIL,MUNGER,5113037,,,conflict,False,BH-5113037,BH-5113030,exact,1.0
BIHAR,NALANDA,5134005,BH-5134023,LAHERI PS,geometry-only,False,,BH-5134023,below-threshold,0.625
VENA,NALANDA,5134029,,,conflict,False,BH-5134029,BH-5134026,exact,1.0
CHIKSOHRA,NALANDA,5134041,BH-5134011,HILSA PS,geometry-only,False,,BH-5134011,below-threshold,0.778
SARE,NALANDA,5134065,,,conflict,False,BH-5134065,BH-5134002,exact,1.0
TELHARA,NALANDA,5134070,,,conflict,False,BH-5134070,BH-5134023,exact,1.0
ISMAILPUR,NAUGACHHIA,5798011,,,conflict,False,BH-5798011,BH-5798040,exact,1.0
KAUAKOL,NAWADA,5136011,BH-5136011,KAWAKOL,geometry-only,False,,BH-5136011,below-threshold,0.857
NAGAR,NAWADA,5136013,BH-5136013,NAWADA,geometry-only,False,,BH-5136013,below-threshold,0.571
BHADAUR,PATNA,5117010,BH-5117082,BAHADURPUR,geometry-only,False,,BH-5117082,below-threshold,0.706
CHOWK,PATNA,5117014,BH-5117014,CITY CHOWK,geometry-only,False,,BH-5117014,below-threshold,0.714
FATUHA,PATNA,5117026,BH-5117026,FATWAH,geometry-only,False,,BH-5117026,below-threshold,0.667
HATHIDAH,PATNA,5117034,BH-5117051,MOKAMA,geometry-only,False,,BH-5117051,below-threshold,0.571
MARANCHI,PATNA,5117037,BH-5117051,MOKAMA,geometry-only,False,,BH-5117051,below-threshold,0.625
PIPRA,PATNA,5117038,,,conflict,False,BH-5117038,BH-5117056,exact,1.0
SAKSOHARA,PATNA,5117039,BH-5117016,BELCHHI,geometry-only,False,,BH-5117016,below-threshold,0.625
SHAHJEHANPUR,PATNA,5117040,BH-5117035,DANIYAWAN,geometry-only,False,,BH-5117035,below-threshold,0.737
KOTWALI,PATNA,5117044,,,conflict,False,BH-5117044,BH-5117028,exact,1.0
SRI KRISHNA PURI,PATNA,5117046,BH-5117046,SK PURI,geometry-only,False,,BH-5117046,below-threshold,0.621
PHULWARI,PATNA,5117060,BH-5117060,PHULWARI SHARIF,geometry-only,False,,BH-5117060,below-threshold,0.7
PATLIPUTRA,PATNA,5117069,,,conflict,False,BH-5117069,BH-5117019,exact,1.0
SIGAURI,PATNA,5117079,BH-5117079,SIGORHI,geometry-only,False,,BH-5117079,below-threshold,0.714
BEUR,PATNA,5117083,BH-5117083,BEOUR JAIL,geometry-only,False,,BH-5117083,below-threshold,0.615
HAWAI ADDA,PATNA,5117086,BH-5117003,AIRPORT,geometry-only,False,,BH-5117003,below-threshold,0.526
NTPC,PATNA,5117090,BH-5117059,PANDARAK,geometry-only,False,,BH-5117059,below-threshold,0.462
RAJEEV NAGAR,PATNA,5117092,,,conflict,False,BH-5117092,BH-5117019,exact,1.0
RUPASPUR,PATNA,5117095,,,conflict,False,BH-5117095,BH-5117042,exact,1.0
SALIMPUR,PATNA,5117096,BH-5117005,BAKHTIYARPUR,geometry-only,False,,BH-5117005,below-threshold,0.667
AMAUR,PURNIA,5118001,BH-5118001,AMOUR,geometry-only,False,,BH-5118001,below-threshold,0.8
Maranga,PURNIA,5118004,,,conflict,False,BH-5118007,BH-5118064,exact,1.0
BARHARA KOTHI,PURNIA,5118011,BH-5118011,BARHARA,geometry-only,False,,BH-5118011,below-threshold,0.737
KHAJANCHI HAT,PURNIA,5118039,BH-5118064,PURNIA SADAR,geometry-only,False,,BH-5118064,below-threshold,0.476
SADAR,PURNIA,5118064,BH-5118064,PURNIA SADAR,geometry-only,False,,BH-5118064,below-threshold,0.625
BAGHELA,ROHTAS,5125004,BH-5125004,BAGHAILA,geometry-only,False,,BH-5125004,below-threshold,0.769
AMJHAUR,ROHTAS,5125007,BH-5125021,ROHTAS,geometry-only,False,,BH-5125021,below-threshold,0.769
DAWAT,ROHTAS,5125010,BH-5125010,DAWETH,geometry-only,False,,BH-5125010,below-threshold,0.727
SASARAM NAGAR,ROHTAS,5125022,BH-5125022,SASARAM (MUFASSIL),geometry-only,False,,BH-5125022,below-threshold,0.64
SHIVSAGAR,ROHTAS,5125023,BH-5125023,SHEOSAGAR,geometry-only,False,,BH-5125023,below-threshold,0.778
SANJHAULI,ROHTAS,5125032,BH-5125032,SANGHAULI,geometry-only,False,,BH-5125032,below-threshold,0.824
Sasaram,ROHTAS,5125046,BH-5125022,SASARAM (MUFASSIL),geometry-only,False,,BH-5125022,below-threshold,0.7
Darigaon,ROHTAS,5125048,,,conflict,False,BH-5125048,BH-5125022,exact,1.0
SONBARASA KACHAHARI,SAHARSA,5120044,BH-5120038,SAHARSA SADAR,geometry-only,False,,BH-5120038,below-threshold,0.621
HASANPUR,SAMASTIPUR,5133006,,,conflict,False,BH-5133006,BH-5133001,exact,1.0
BITHAN,SAMASTIPUR,5133007,,,conflict,False,BH-5133007,BH-5133006,exact,1.0
MUFASSIL,SAMASTIPUR,5133012,,,conflict,False,BH-5133012,BH-5133024,exact,1.0
SHAHPUR PATORI,SAMASTIPUR,5133013,BH-5133004,PATORI,geometry-only,False,,BH-5133004,below-threshold,0.632
NAGAR,SAMASTIPUR,5133024,BH-5133024,SAMASTIPUR SADAR,geometry-only,False,,BH-5133024,below-threshold,0.667
AMNAUR,SARAN,5123001,BH-5123001,AMNOUR,geometry-only,False,,BH-5123001,below-threshold,0.833
NAGAR,SARAN,5123004,BH-5123003,NAGRA,geometry-only,False,,BH-5123003,below-threshold,0.8
MUFASSIL,SARAN,5123005,BH-5123004,SARAN NAGAR THANA,geometry-only,False,,BH-5123004,below-threshold,0.7
BHAGWAN BAZAAR,SARAN,5123006,BH-5123004,SARAN NAGAR THANA,geometry-only,False,,BH-5123004,below-threshold,0.64
ISUAPUR,SARAN,5123014,BH-5123014,ISHUPUR,geometry-only,False,,BH-5123014,below-threshold,0.857
JANTA BAZAAR,SARAN,5123026,BH-5123026,LAHLADPUR (JANTA BAZAR),geometry-only,False,,BH-5123026,below-threshold,0.69
