district,station_name,thana_id,confirmed_by,note
BEGUSARAI,NAWA KOTHI,BH-5102035,rule:code-matched,ps_cd 5102035 is i-Bhugoal PS_Code 'NAOKOTHI' in the same district; the name alone would not have matched
BHAGALPUR,AKBARNER,BH-5103001,rule:code-matched,ps_cd 5103001 is i-Bhugoal PS_Code 'AKBARNAGAR' in the same district; the name alone would not have matched
BUXAR,KRISHNABRAHM,BH-5793002,rule:code-matched,ps_cd 5793002 is i-Bhugoal PS_Code 'NAYABHOJPUR OP' in the same district; the name alone would not have matched
DARBHANGA,DARBHANGA TOWN,BH-5106072,rule:corroborated,"'DARBHANGA TOWN' and 'DARBHANGA SADAR': same consonant skeleton, unique in this district; the point falls inside it"
GAYA,MAGADH VISWAVIDYALAY,BH-5109050,rule:code-matched,ps_cd 5109050 is i-Bhugoal PS_Code 'MAGADH UNIVERSITY' in the same district; the name alone would not have matched
GAYA,Suhail,BH-5109066,rule:code-matched,ps_cd 5109066 is i-Bhugoal PS_Code 'SOHAIL' in the same district; the name alone would not have matched
JEHANABAD,Barabar Tourism,BH-5790053,rule:code-matched,ps_cd 5790053 is i-Bhugoal PS_Code 'BARABAR' in the same district; the name alone would not have matched
KATIHAR,Sahayak Thana,BH-5130023,rule:code-matched,ps_cd 5130023 is i-Bhugoal PS_Code 'SALMARI' in the same district; the name alone would not have matched
KHAGARIA,MURKAHI,BH-5108007,rule:code-matched,ps_cd 5108007 is i-Bhugoal PS_Code 'MORKHI' in the same district; the name alone would not have matched
KHAGARIA,Riverine Mohraghat,BH-5108013,rule:code-matched,ps_cd 5108013 is i-Bhugoal PS_Code 'MARIA OP' in the same district; the name alone would not have matched
KHAGARIA,Bahadurpur,BH-5108017,rule:code-matched,ps_cd 5108017 is i-Bhugoal PS_Code 'BHARKHAND OP' in the same district; the name alone would not have matched
KHAGARIA,Madaiya,BH-5108013,rule:corroborated,"name 'Madaiya' ~ 'MARIA OP' at 0.73, below the 0.86 threshold but the point falls inside it"
MUZAFFARPUR,NAGAR,BH-5114054,rule:corroborated,'NAGAR' and 'MUZAFFARPUR SADAR': both name the district headquarters station; the point falls inside it
NALANDA,BIHAR,BH-5134005,rule:code-matched,ps_cd 5134005 is i-Bhugoal PS_Code 'BIHAR SHARIF PS' in the same district; the name alone would not have matched
PATNA,BHADAUR,BH-5117082,rule:corroborated,"name 'BHADAUR' ~ 'BAHADURPUR' at 0.71, below the 0.86 threshold but the point falls inside it"
ROHTAS,AMJHAUR,BH-5125007,rule:code-matched,ps_cd 5125007 is i-Bhugoal PS_Code 'AMJHOR' in the same district; the name alone would not have matched
ROHTAS,Sasaram,BH-5125022,rule:corroborated,"name 'Sasaram' ~ 'SASARAM (MUFASSIL)' at 0.70, below the 0.86 threshold but the point falls inside it"
SAMASTIPUR,CHAKMAHESHI,BH-5133001,rule:code-matched,ps_cd 5133001 is i-Bhugoal PS_Code 'MOHANPUR' in the same district; the name alone would not have matched
SAMASTIPUR,SHAHPUR PATORI,BH-5133004,rule:corroborated,'SHAHPUR PATORI' and 'PATORI': one name contains the other; the point falls inside it
SARAN,NAGAR,BH-5123004,rule:code-matched,ps_cd 5123004 is i-Bhugoal PS_Code 'SARAN NAGAR THANA' in the same district; the name alone would not have matched
SARAN,MUFASSIL,BH-5123005,rule:code-matched,ps_cd 5123005 is i-Bhugoal PS_Code 'CHAPRA MUFFASIL' in the same district; the name alone would not have matched
SARAN,BHAGWAN BAZAAR,BH-5123006,rule:code-matched,ps_cd 5123006 is i-Bhugoal PS_Code 'BHAGWANPUR HAT' in the same district; the name alone would not have matched
SITAMARHI,MAJORGANJ,BH-5138009,rule:code-matched,ps_cd 5138009 is i-Bhugoal PS_Code 'MEJARGANJ' in the same district; the name alone would not have matched
SUPAUL,RIVERINE PS,BH-5800038,rule:code-matched,ps_cd 5800038 is i-Bhugoal PS_Code 'SUPAUL NADI THANA' in the same district; the name alone would not have matched
VAISHALI,GAOROL,BH-5104006,rule:code-matched,ps_cd 5104006 is i-Bhugoal PS_Code 'GORAUL' in the same district; the name alone would not have matched
