station_name,district,ps_cd_mha,thana_id,thana_name,tier,mappable,rule,by_name,by_name_confidence,by_geometry,by_geometry_name,by_geometry_similarity,proposal
ARARIA,ARARIA,5140003,BH-5140003,ARARIA,name-over-geometry,True,"name matched 'ARARIA' at 1.0; point fell in 'ARARIA R.S OP', which is the unreliable witness",BH-5140003,1.0,BH-5140077,ARARIA R.S OP,0.857,
SIKTI,ARARIA,5140012,BH-5140012,SIKTI,confirmed,True,name and geometry agree,BH-5140012,1.0,BH-5140012,SIKTI,1.0,
BHARGAWAN,ARARIA,5140014,BH-5140014,BHARGAMA,corroborated,True,"name 'BHARGAWAN' ~ 'BHARGAMA' at 0.82, below the 0.86 threshold but the point falls inside it",,0.824,BH-5140014,BHARGAMA,0.824,
FORBESGANJ,ARARIA,5140027,BH-5140027,FORBESGANJ,confirmed,True,name and geometry agree,BH-5140027,1.0,BH-5140027,FORBESGANJ,1.0,
JOGBANI,ARARIA,5140031,BH-5140031,JOGABANI,name-over-geometry,True,"name matched 'JOGABANI' at 0.933; point fell in 'BATHNAHA', which is the unreliable witness",BH-5140031,0.933,BH-5140082,BATHNAHA,0.4,
KURSAKANTA,ARARIA,5140043,BH-5140043,KURSAKANTA,confirmed,True,name and geometry agree,BH-5140043,1.0,BH-5140043,KURSAKANTA,1.0,
NARPATGANJ,ARARIA,5140051,BH-5140051,NARPATAGANJ,confirmed,True,name and geometry agree,BH-5140051,0.952,BH-5140051,NARPATAGANJ,0.952,
PALASI,ARARIA,5140055,BH-5140055,PALASI,confirmed,True,name and geometry agree,BH-5140055,1.0,BH-5140055,PALASI,1.0,
RANIGANJ,ARARIA,5140061,BH-5140061,RANIGANJ,confirmed,True,name and geometry agree,BH-5140061,1.0,BH-5140061,RANIGANJ,1.0,
JOKIHAT,ARARIA,5140072,BH-5140072,JOKIHAT,confirmed,True,name and geometry agree,BH-5140072,1.0,BH-5140072,JOKIHAT,1.0,
ARWAL,ARWAL,5141001,BH-5141001,ARWAL,confirmed,True,name and geometry agree,BH-5141001,1.0,BH-5141001,ARWAL,1.0,
KALER,ARWAL,5141002,BH-5141002,KALER,confirmed,True,name and geometry agree,BH-5141002,1.0,BH-5141002,KALER,1.0,
KARPI,ARWAL,5141003,BH-5141003,KARPI,confirmed,True,name and geometry agree,BH-5141003,1.0,BH-5141003,KARPI,1.0,
KINJAR,ARWAL,5141004,BH-5141004,KINJAR,confirmed,True,name and geometry agree,BH-5141004,1.0,BH-5141004,KINJAR,1.0,
KURTHA,ARWAL,5141005,BH-5141005,KURTHA,confirmed,True,name and geometry agree,BH-5141005,1.0,BH-5141005,KURTHA,1.0,
MEHANDIA,ARWAL,5141007,BH-5141007,MEHANDIYA,confirmed,True,name and geometry agree,BH-5141007,1.0,BH-5141007,MEHANDIYA,1.0,
PARASI,ARWAL,5141008,BH-5141008,PARASI,confirmed,True,name and geometry agree,BH-5141008,1.0,BH-5141008,PARASI,1.0,
RAMPUR CHAURAM,ARWAL,5141009,BH-5141009,RAMPUR CHAURAM,confirmed,True,name and geometry agree,BH-5141009,1.0,BH-5141009,RAMPUR CHAURAM,1.0,
Banshi,ARWAL,5141011,BH-5141011,BANSHI,confirmed,True,name and geometry agree,BH-5141011,1.0,BH-5141011,BANSHI,1.0,
AMBA,AURANGABAD,5137002,BH-5137002,AMBA,confirmed,True,name and geometry agree,BH-5137002,1.0,BH-5137002,AMBA,1.0,
MUFASSIL,AURANGABAD,5137003,BH-5137003,MUFASSIL,confirmed,True,name and geometry agree,BH-5137003,1.0,BH-5137003,MUFASSIL,1.0,
NAGAR,AURANGABAD,5137004,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.714,BH-5137003,MUFASSIL,0.167,BH-5137003
BARUN,AURANGABAD,5137008,BH-5137008,BARUN,confirmed,True,name and geometry agree,BH-5137008,1.0,BH-5137008,BARUN,1.0,
DAUD NAGAR,AURANGABAD,5137017,BH-5137017,DAUDNAGAR,confirmed,True,name and geometry agree,BH-5137017,1.0,BH-5137017,DAUDNAGAR,1.0,
DEO,AURANGABAD,5137018,BH-5137018,DEO,confirmed,True,name and geometry agree,BH-5137018,1.0,BH-5137018,DEO,1.0,
DEVKUND,AURANGABAD,5137019,BH-5137019,DEOKUND,corroborated,True,"name 'DEVKUND' ~ 'DEOKUND' at 0.86, below the 0.86 threshold but the point falls inside it",,0.857,BH-5137019,DEOKUND,0.857,
DHIBRA,AURANGABAD,5137020,BH-5137020,DHIBRA,confirmed,True,name and geometry agree,BH-5137020,1.0,BH-5137020,DHIBRA,1.0,
GOH,AURANGABAD,5137027,BH-5137027,GOH,confirmed,True,name and geometry agree,BH-5137027,1.0,BH-5137027,GOH,1.0,
HASPURA,AURANGABAD,5137032,BH-5137032,HASPURA,confirmed,True,name and geometry agree,BH-5137032,1.0,BH-5137032,HASPURA,1.0,
JAMHAUR,AURANGABAD,5137035,BH-5137035,JAMHORE,corroborated,True,"name 'JAMHAUR' ~ 'JAMHORE' at 0.71, below the 0.86 threshold but the point falls inside it",,0.714,BH-5137035,JAMHORE,0.714,
KASMA,AURANGABAD,5137047,BH-5137047,KASMA,confirmed,True,name and geometry agree,BH-5137047,1.0,BH-5137047,KASMA,1.0,
KUTUMBA,AURANGABAD,5137048,BH-5137048,KUTUMBA,confirmed,True,name and geometry agree,BH-5137048,1.0,BH-5137048,KUTUMBA,1.0,
MADANPUR,AURANGABAD,5137049,BH-5137049,MADANPUR,confirmed,True,name and geometry agree,BH-5137049,1.0,BH-5137049,MADANPUR,1.0,
MALI,AURANGABAD,5137050,BH-5137050,MALI,confirmed,True,name and geometry agree,BH-5137050,1.0,BH-5137050,MALI,1.0,
PAUTHU,AURANGABAD,5137053,BH-5137053,PAUTHU,confirmed,True,name and geometry agree,BH-5137053,1.0,BH-5137053,PAUTHU,1.0,
NABINAGAR,AURANGABAD,5137054,BH-5137054,NABINAGAR,confirmed,True,name and geometry agree,BH-5137054,1.0,BH-5137054,NABINAGAR,1.0,
OBRA,AURANGABAD,5137060,BH-5137060,OBRA,confirmed,True,name and geometry agree,BH-5137060,1.0,BH-5137060,OBRA,1.0,
RAFIGANJ,AURANGABAD,5137068,BH-5137068,RAFIGANJ,confirmed,True,name and geometry agree,BH-5137068,1.0,BH-5137068,RAFIGANJ,1.0,
RISHIYAP,AURANGABAD,5137069,BH-5137069,RISIYAP,confirmed,True,name and geometry agree,BH-5137069,0.923,BH-5137069,RISIYAP,0.923,
UPHARA,AURANGABAD,5137072,BH-5137072,UPAHARA,corroborated,True,"'UPHARA' and 'UPAHARA': same consonant skeleton, unique in this district; the point falls inside it",,0.667,BH-5137072,UPAHARA,0.667,
FESAR,AURANGABAD,5137073,BH-5137073,PHESAR,confirmed,True,name and geometry agree,BH-5137073,1.0,BH-5137073,PHESAR,1.0,
KHAIRA,AURANGABAD,5137074,BH-5137074,NTPC KHAIRA,corroborated,True,"name 'KHAIRA' ~ 'NTPC KHAIRA' at 0.71, below the 0.86 threshold but the point falls inside it",,0.714,BH-5137074,NTPC KHAIRA,0.714,
KHUDWAN,AURANGABAD,5137075,BH-5137075,KHUDWAN,confirmed,True,name and geometry agree,BH-5137075,1.0,BH-5137075,KHUDWAN,1.0,
NARARI KALA KHURD,AURANGABAD,5137077,BH-5137077,NARARI KALA KHURD,name-over-geometry,True,"name matched 'NARARI KALA KHURD' at 1.0; point fell in 'BAREM OP', which is the unreliable witness",BH-5137077,1.0,BH-5137001,BAREM OP,0.211,
SALAIYA,AURANGABAD,5137078,BH-5137078,SALAIYA,confirmed,True,name and geometry agree,BH-5137078,1.0,BH-5137078,SALAIYA,1.0,
SIMRA,AURANGABAD,5137080,BH-5137080,SIMRA,confirmed,True,name and geometry agree,BH-5137080,1.0,BH-5137080,SIMRA,1.0,
TANRWA,AURANGABAD,5137081,BH-5137081,TANDWA,corroborated,True,"name 'TANRWA' ~ 'TANDWA' at 0.83, below the 0.86 threshold but the point falls inside it",,0.833,BH-5137081,TANDWA,0.833,
Azan,AURANGABAD,5137082,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.5,BH-5137049,MADANPUR,0.5,BH-5137049
Bandeya,AURANGABAD,5137083,BH-5137083,BANDEYA,confirmed,True,name and geometry agree,BH-5137083,1.0,BH-5137083,BANDEYA,1.0,
WALMIKINAGAR,BAGAHA,5803001,BH-5803001,VALMIKI NAGAR,confirmed,True,name and geometry agree,BH-5803001,1.0,BH-5803001,VALMIKI NAGAR,1.0,
Bhitaha,BAGAHA,5803002,BH-5803048,BHITHA,confirmed,True,name and geometry agree,BH-5803048,0.923,BH-5803048,BHITHA,0.923,
BAGAHA,BAGAHA,5803005,BH-5803005,BAGAHA,name-over-geometry,True,"name matched 'BAGAHA' at 1.0; point fell in 'PATHAKHAULI OP', which is the unreliable witness",BH-5803005,1.0,BH-5127013,PATHAKHAULI OP,0.375,
THAKRAHAN,BAGAHA,5803010,,,needs-review,False,neither name nor geometry places this station,,0.625,,,0.0,
DHANAHA,BAGAHA,5803014,BH-5803014,DHANAHA,confirmed,True,name and geometry agree,BH-5803014,1.0,BH-5803014,DHANAHA,1.0,
CHAUTARVA,BAGAHA,5803016,BH-5803016,CHAUTARWA,confirmed,True,name and geometry agree,BH-5803016,1.0,BH-5803016,CHAUTARWA,1.0,
LAUKARIA,BAGAHA,5803017,BH-5803017,LAUKARIYA,confirmed,True,name and geometry agree,BH-5803017,1.0,BH-5803017,LAUKARIYA,1.0,
GOBARDHANA,BAGAHA,5803022,BH-5803022,GOBERDHANA,confirmed,True,name and geometry agree,BH-5803022,0.9,BH-5803022,GOBERDHANA,0.9,
RAMNAGAR,BAGAHA,5803023,BH-5803023,RAMNAGAR,confirmed,True,name and geometry agree,BH-5803023,1.0,BH-5803023,RAMNAGAR,1.0,
SEMRA,BAGAHA,5803027,BH-5803027,SEMRA,confirmed,True,name and geometry agree,BH-5803027,1.0,BH-5803027,SEMRA,1.0,
PIPRASI,BAGAHA,5803030,BH-5803030,PIPRASI,confirmed,True,name and geometry agree,BH-5803030,1.0,BH-5803030,PIPRASI,1.0,
NAURANGIA,BAGAHA,5803041,BH-5803041,NAURANGIYA,confirmed,True,name and geometry agree,BH-5803041,1.0,BH-5803041,NAURANGIYA,1.0,
GOBRAHIYA,BAGAHA,5803042,BH-5803042,GOBERAHIYA,name-over-geometry,True,"name matched 'GOBERAHIYA' at 0.941; point fell in 'DHANAHA', which is the unreliable witness",BH-5803042,0.941,BH-5803014,DHANAHA,0.4,
AMARPUR,BANKA,5797001,BH-5797001,AMARPUR,confirmed,True,name and geometry agree,BH-5797001,1.0,BH-5797001,AMARPUR,1.0,
DHORAIYA,BANKA,5797002,BH-5797002,DHURAIYA,corroborated,True,"name 'DHORAIYA' ~ 'DHURAIYA' at 0.86, below the 0.86 threshold but the point falls inside it",,0.857,BH-5797002,DHURAIYA,0.857,
BANKA,BANKA,5797005,BH-5797005,BANKA,confirmed,True,name and geometry agree,BH-5797005,1.0,BH-5797005,BANKA,1.0,
BAUNSI,BANKA,5797008,BH-5797008,BAUSI,confirmed,True,name and geometry agree,BH-5797008,0.909,BH-5797008,BAUSI,0.909,
BELHAR,BANKA,5797009,BH-5797009,BELHAR,confirmed,True,name and geometry agree,BH-5797009,1.0,BH-5797009,BELHAR,1.0,
CHANDAN,BANKA,5797028,BH-5797028,CHANAN,confirmed,True,name and geometry agree,BH-5797028,0.923,BH-5797028,CHANAN,0.923,
KATORIA,BANKA,5797029,BH-5797029,KATORIA,confirmed,True,name and geometry agree,BH-5797029,1.0,BH-5797029,KATORIA,1.0,
RAJAUN,BANKA,5797045,BH-5797045,RAJAUN,confirmed,True,name and geometry agree,BH-5797045,1.0,BH-5797045,RAJAUN,1.0,
Bandhua Kudawali,BANKA,5797048,BH-5797048,BANDHUA KURAWA,corroborated,True,"name 'Bandhua Kudawali' ~ 'BANDHUA KURAWA' at 0.86, below the 0.86 threshold but the point falls inside it",,0.857,BH-5797048,BANDHUA KURAWA,0.857,
Dhankund,BANKA,5797049,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.571,BH-5797002,DHURAIYA,0.4,BH-5797002
Jaipur,BANKA,5797050,BH-5797050,JAIPUR,confirmed,True,name and geometry agree,BH-5797050,1.0,BH-5797050,JAIPUR,1.0,
SHAMBHUGANJ,BANKA,5797051,BH-5797051,SHAMBHUGANJ,confirmed,True,name and geometry agree,BH-5797051,1.0,BH-5797051,SHAMBHUGANJ,1.0,
Suiya,BANKA,5797056,BH-5797056,SUIYA,confirmed,True,name and geometry agree,BH-5797056,1.0,BH-5797056,SUIYA,1.0,
SAMHO,BEGUSARAI,5102001,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.526,BH-5102001,SHAMHO AKHA KURHA,0.526,BH-5102001
BIRPUR,BEGUSARAI,5102002,BH-5102002,BIRPUR,name-only,True,no usable point; unambiguous name match,BH-5102002,1.0,,,0.0,
BACHHWARA,BEGUSARAI,5102005,BH-5102005,BACHHWARA,name-only,True,no usable point; unambiguous name match,BH-5102005,1.0,,,0.0,
BAKHARI,BEGUSARAI,5102006,BH-5102006,BAKHRI,name-over-geometry,True,"name matched 'BAKHRI' at 0.909; point fell in 'CHHORAHI', which is the unreliable witness",BH-5102006,0.909,BH-5102004,CHHORAHI,0.308,
BALIA,BEGUSARAI,5102007,BH-5102007,BALIA,name-over-geometry,True,"name matched 'BALIA' at 1.0; point fell in 'MUFASSIL', which is the unreliable witness",BH-5102007,1.0,BH-5102038,MUFASSIL,0.333,
BARAUNI,BEGUSARAI,5102008,BH-5102008,BARAUNI,name-only,True,no usable point; unambiguous name match,BH-5102008,1.0,,,0.0,
BEGUSARAI TOWN,BEGUSARAI,5102010,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.5,BH-5102038,MUFASSIL,0.3,BH-5102038
CHERIYABARIYAR PUR,BEGUSARAI,5102013,BH-5102013,CHERIA BARIARPUR,name-only,True,no usable point; unambiguous name match,BH-5102013,1.0,,,0.0,
GARHPURA,BEGUSARAI,5102016,BH-5102016,GARHPURA,name-over-geometry,True,"name matched 'GARHPURA' at 1.0; point fell in 'MUFASSIL', which is the unreliable witness",BH-5102016,1.0,BH-5102038,MUFASSIL,0.133,
KHODAWANDPUR,BEGUSARAI,5102027,BH-5102027,KHUDABANDPUR,corroborated,True,"name 'KHODAWANDPUR' ~ 'KHUDABANDPUR' at 0.82, below the 0.86 threshold but the point falls inside it",,0.818,BH-5102027,KHUDABANDPUR,0.818,
